id,keyword_id,count,not_found_count,created_at
134,728,87,0,2022-3-25
135,936,17,0,2022-1-14
136,300,19,0,2022-5-11
137,228,0,25,2022-4-14
138,968,38,0,2022-5-16
139,123,0,56,2022-6-21
140,429,16,0,2022-6-8
141,503,0,71,2022-3-9
142,785,15,0,2022-2-24
143,630,0,54,2022-1-6
144,1000,0,69,2022-6-8
145,277,25,0,2022-2-4
146,51,35,0,2022-4-11
147,534,0,91,2022-4-26
148,471,0,93,2022-2-13
149,593,0,20,2022-2-1
150,834,55,0,2022-4-26
151,180,67,0,2022-4-12
152,447,0,82,2022-5-17
153,4,7,0,2022-4-5
154,563,53,0,2022-6-5
155,32,0,72,2022-5-18
156,72,58,0,2022-1-18
157,547,41,0,2022-1-27
158,611,27,0,2022-5-18
159,185,0,89,2022-6-3
160,175,0,34,2022-5-22
161,801,0,67,2022-6-14
162,929,0,29,2022-4-20
163,849,0,95,2022-3-3
164,580,0,64,2022-5-2
165,347,67,0,2022-6-3
166,631,0,23,2022-6-5
167,949,0,98,2022-1-4
168,443,75,0,2022-4-5
169,307,66,0,2022-1-23
170,367,0,14,2022-6-1
171,591,63,0,2022-5-21
172,199,45,0,2022-5-9
173,479,99,0,2022-5-21
174,200,0,49,2022-4-20
175,393,38,0,2022-6-27
176,48,58,0,2022-2-1
177,795,8,0,2022-2-26
178,22,0,30,2022-6-12
179,992,69,0,2022-6-21
180,13,0,5,2022-1-17
181,240,47,0,2022-1-14
182,232,55,0,2022-4-13
183,989,58,0,2022-3-19
184,816,70,0,2022-5-12
185,120,0,65,2022-1-11
186,769,0,76,2022-3-20
187,46,0,17,2022-4-12
188,846,8,0,2022-3-12
189,774,0,91,2022-3-24
190,227,0,98,2022-1-6
191,614,0,41,2022-5-5
192,728,90,0,2022-4-7
193,440,92,0,2022-2-17
194,107,0,1,2022-1-21
195,798,0,17,2022-5-22
196,928,44,0,2022-4-6
197,394,0,41,2022-5-6
198,304,52,0,2022-6-7
199,780,0,67,2022-5-3
200,546,76,0,2022-3-25
201,953,0,52,2022-6-7
202,693,0,84,2022-1-12
203,296,0,83,2022-3-5
204,140,16,0,2022-1-13
205,893,0,54,2022-4-15
206,823,0,26,2022-2-5
207,691,53,0,2022-5-27
208,238,42,0,2022-4-8
209,145,99,0,2022-2-7
210,833,0,37,2022-6-20
211,122,38,0,2022-4-10
212,132,0,9,2022-1-21
213,199,75,0,2022-6-12
214,961,23,0,2022-5-6
215,533,77,0,2022-3-16
216,367,0,34,2022-3-24
217,473,0,29,2022-6-15
218,139,0,92,2022-5-9
219,645,69,0,2022-2-1
220,484,69,0,2022-3-25
221,862,46,0,2022-4-5
222,944,0,13,2022-3-13
223,296,18,0,2022-1-18
224,589,0,13,2022-3-4
225,362,47,0,2022-1-13
226,850,49,0,2022-2-8
227,653,27,0,2022-6-12
228,540,56,0,2022-3-9
229,503,46,0,2022-3-23
230,599,0,22,2022-6-7
231,78,0,86,2022-1-21
232,501,0,94,2022-6-27
233,343,0,36,2022-4-27
234,737,40,0,2022-5-24
235,329,0,63,2022-4-24
236,367,38,0,2022-2-26
237,597,0,53,2022-5-11
238,942,0,28,2022-2-22
239,261,0,8,2022-6-23
240,852,61,0,2022-6-18
241,997,0,51,2022-4-20
242,200,0,55,2022-4-6
243,41,12,0,2022-2-23
244,902,5,0,2022-2-10
245,155,10,0,2022-5-10
246,547,0,26,2022-2-24
247,122,0,56,2022-3-13
248,960,46,0,2022-2-1
249,944,0,44,2022-3-7
250,475,98,0,2022-6-3
251,925,8,0,2022-6-22
252,587,43,0,2022-5-14
253,223,75,0,2022-3-12
254,825,30,0,2022-2-3
255,107,55,0,2022-3-9
256,238,47,0,2022-6-8
257,767,22,0,2022-4-8
258,145,0,57,2022-2-3
259,899,99,0,2022-5-15
260,412,0,53,2022-2-13
261,821,0,83,2022-6-25
262,444,0,27,2022-2-7
263,24,75,0,2022-5-19
264,589,0,87,2022-4-1
265,81,51,0,2022-6-2
266,305,0,59,2022-4-9
267,355,0,24,2022-3-2
268,942,19,0,2022-2-20
269,136,81,0,2022-2-20
270,146,8,0,2022-5-14
271,808,65,0,2022-2-7
272,447,24,0,2022-2-20
273,592,0,38,2022-2-8
274,918,0,77,2022-3-22
275,253,0,55,2022-1-22
276,831,75,0,2022-2-15
277,6,21,0,2022-5-3
278,607,0,41,2022-5-8
279,363,0,57,2022-1-11
280,561,18,0,2022-1-26
281,310,0,37,2022-6-3
282,789,1,0,2022-1-5
283,992,30,0,2022-2-9
284,248,82,0,2022-5-8
285,881,0,68,2022-3-8
286,454,25,0,2022-4-12
287,740,0,40,2022-2-12
288,596,44,0,2022-2-20
289,737,18,0,2022-6-16
290,726,53,0,2022-5-19
291,156,29,0,2022-2-9
292,731,0,79,2022-4-21
293,366,0,86,2022-4-3
294,628,0,70,2022-1-19
295,380,0,12,2022-1-4
296,163,30,0,2022-2-4
297,684,0,81,2022-3-14
298,785,0,68,2022-6-4
299,319,0,92,2022-6-11
300,576,0,70,2022-5-5
301,97,0,5,2022-2-21
302,552,0,57,2022-5-26
303,48,0,32,2022-3-10
304,983,84,0,2022-1-4
305,767,29,0,2022-4-17
306,261,67,0,2022-2-7
307,332,51,0,2022-3-16
308,687,0,90,2022-1-10
309,177,0,39,2022-6-17
310,589,0,47,2022-5-21
311,34,66,0,2022-5-20
312,654,99,0,2022-4-27
313,683,0,39,2022-6-21
314,666,0,3,2022-6-6
315,1,0,4,2022-6-4
316,925,46,0,2022-4-11
317,478,84,0,2022-1-15
318,703,64,0,2022-1-2
319,180,0,72,2022-5-23
320,906,0,60,2022-4-24
321,485,11,0,2022-3-5
322,851,0,34,2022-3-2
323,833,0,71,2022-4-27
324,78,64,0,2022-6-9
325,872,69,0,2022-4-26
326,428,40,0,2022-2-15
327,354,86,0,2022-4-19
328,731,0,87,2022-5-10
329,175,28,0,2022-5-9
330,582,23,0,2022-2-12
331,105,0,21,2022-3-9
332,14,0,86,2022-5-25
333,252,89,0,2022-4-15
334,104,38,0,2022-2-23
335,558,0,42,2022-4-18
336,232,38,0,2022-6-8
337,285,35,0,2022-4-16
338,169,0,99,2022-5-22
339,683,0,5,2022-6-10
340,170,0,21,2022-3-4
341,250,59,0,2022-5-26
342,505,24,0,2022-3-21
343,63,0,97,2022-6-18
344,971,27,0,2022-1-5
345,110,0,25,2022-2-14
346,916,0,53,2022-6-11
347,763,76,0,2022-1-21
348,478,83,0,2022-6-22
349,65,0,6,2022-2-10
350,165,0,98,2022-6-23
351,951,0,91,2022-4-25
352,40,63,0,2022-1-10
353,353,80,0,2022-2-23
354,820,0,74,2022-3-5
355,534,0,36,2022-3-15
356,873,0,91,2022-2-18
357,998,86,0,2022-1-26
358,812,28,0,2022-4-2
359,63,79,0,2022-5-8
360,503,0,45,2022-2-6
361,866,0,18,2022-3-1
362,279,93,0,2022-5-3
363,701,98,0,2022-5-8
364,63,0,99,2022-3-11
365,774,80,0,2022-4-22
366,822,0,21,2022-1-19
367,825,80,0,2022-2-20
368,677,88,0,2022-2-27
369,378,0,50,2022-4-9
370,656,0,12,2022-4-2
371,879,0,84,2022-2-22
372,472,27,0,2022-6-10
373,195,11,0,2022-5-25
374,837,30,0,2022-3-15
375,478,89,0,2022-1-6
376,220,61,0,2022-6-10
377,424,0,62,2022-2-10
378,297,0,71,2022-3-5
379,408,0,88,2022-3-19
380,836,67,0,2022-3-15
381,878,99,0,2022-5-19
382,886,82,0,2022-2-26
383,578,0,80,2022-6-26
384,704,0,73,2022-6-8
385,845,0,100,2022-1-2
386,492,0,50,2022-2-4
387,914,0,96,2022-5-9
388,957,0,95,2022-4-8
389,260,68,0,2022-5-18
390,34,0,14,2022-1-13
391,559,81,0,2022-6-20
392,734,13,0,2022-4-25
393,62,11,0,2022-2-23
394,674,0,31,2022-2-5
395,717,0,8,2022-4-10
396,117,33,0,2022-5-3
397,526,0,5,2022-5-20
398,674,92,0,2022-3-22
399,515,67,0,2022-6-16
400,717,0,31,2022-3-11
401,530,95,0,2022-5-14
402,30,0,78,2022-5-21
403,325,25,0,2022-5-9
404,670,0,28,2022-3-13
405,945,0,75,2022-1-12
406,329,5,0,2022-4-26
407,984,60,0,2022-1-14
408,186,37,0,2022-5-8
409,700,67,0,2022-4-4
410,667,0,53,2022-1-14
411,969,0,61,2022-6-24
412,620,85,0,2022-5-27
413,344,59,0,2022-5-12
414,570,0,14,2022-4-11
415,563,43,0,2022-3-11
416,889,0,60,2022-2-17
417,191,41,0,2022-1-6
418,792,76,0,2022-2-27
419,166,0,35,2022-1-14
420,737,59,0,2022-4-15
421,940,24,0,2022-3-27
422,244,0,6,2022-1-26
423,656,67,0,2022-1-2
424,564,100,0,2022-3-17
425,574,49,0,2022-5-6
426,119,1,0,2022-3-22
427,797,63,0,2022-3-27
428,107,0,3,2022-1-20
429,257,13,0,2022-1-11
430,373,0,65,2022-4-3
431,450,0,50,2022-2-16
432,188,0,36,2022-6-1
433,627,0,41,2022-1-11
434,596,0,24,2022-4-15
435,59,0,57,2022-6-27
436,989,66,0,2022-3-19
437,102,0,14,2022-4-23
438,681,0,6,2022-6-8
439,592,32,0,2022-6-22
440,906,97,0,2022-1-9
441,697,56,0,2022-3-10
442,886,0,79,2022-6-20
443,70,0,57,2022-5-6
444,735,0,4,2022-6-18
445,162,0,2,2022-5-14
446,661,0,21,2022-3-18
447,123,55,0,2022-3-26
448,29,79,0,2022-1-27
449,775,72,0,2022-4-7
450,437,0,18,2022-4-21
451,819,0,44,2022-5-16
452,46,0,10,2022-3-13
453,234,62,0,2022-2-6
454,831,52,0,2022-6-11
455,916,18,0,2022-5-8
456,290,0,76,2022-2-15
457,674,93,0,2022-4-11
458,116,0,60,2022-2-27
459,334,91,0,2022-1-21
460,127,0,84,2022-3-23
461,332,34,0,2022-1-27
462,759,4,0,2022-5-20
463,326,0,52,2022-5-25
464,311,84,0,2022-4-18
465,917,0,16,2022-4-15
466,638,0,97,2022-4-2
467,991,0,16,2022-3-5
468,220,0,12,2022-4-14
469,170,0,12,2022-5-8
470,782,88,0,2022-1-12
471,89,99,0,2022-1-18
472,372,21,0,2022-3-27
473,717,1,0,2022-1-10
474,440,41,0,2022-5-13
475,391,81,0,2022-5-11
476,18,100,0,2022-6-7
477,424,0,55,2022-2-26
478,940,0,38,2022-6-17
479,430,75,0,2022-5-26
480,265,0,34,2022-1-20
481,596,0,1,2022-2-27
482,358,0,28,2022-1-23
483,929,0,34,2022-3-8
484,159,25,0,2022-3-17
485,147,95,0,2022-2-1
486,816,99,0,2022-1-16
487,1,0,15,2022-4-23
488,267,70,0,2022-4-20
489,773,0,20,2022-4-5
490,955,17,0,2022-5-9
491,367,0,25,2022-5-21
492,966,37,0,2022-4-19
493,657,0,55,2022-1-15
494,237,98,0,2022-2-27
495,806,13,0,2022-3-22
496,320,44,0,2022-3-23
497,96,14,0,2022-4-23
498,260,96,0,2022-6-13
499,601,0,15,2022-3-11
500,640,12,0,2022-3-15
501,497,0,74,2022-4-12
502,854,0,10,2022-5-26
503,499,0,89,2022-5-16
504,452,0,92,2022-2-8
505,419,49,0,2022-3-11
506,213,0,68,2022-4-6
507,679,0,38,2022-1-9
508,415,26,0,2022-2-16
509,142,0,5,2022-3-18
510,110,42,0,2022-4-3
511,802,57,0,2022-6-11
512,693,18,0,2022-4-6
513,838,20,0,2022-2-21
514,31,21,0,2022-4-7
515,112,60,0,2022-3-20
516,878,13,0,2022-6-20
517,892,0,42,2022-5-14
518,406,56,0,2022-1-10
519,824,0,88,2022-1-5
520,295,0,9,2022-2-16
521,892,0,1,2022-1-5
522,630,35,0,2022-5-16
523,350,0,42,2022-3-26
524,119,5,0,2022-5-2
525,792,94,0,2022-1-9
526,508,27,0,2022-5-18
527,722,0,94,2022-6-18
528,495,0,9,2022-2-22
529,96,52,0,2022-6-21
530,360,85,0,2022-4-8
531,350,0,40,2022-5-8
532,887,0,71,2022-4-5
533,967,95,0,2022-1-11
534,284,0,70,2022-6-3
535,252,0,23,2022-4-15
536,329,85,0,2022-6-16
537,393,83,0,2022-4-26
538,252,0,28,2022-2-21
539,804,48,0,2022-2-10
540,320,26,0,2022-1-16
541,392,61,0,2022-3-6
542,12,80,0,2022-1-21
543,139,0,31,2022-2-23
544,247,0,2,2022-3-16
545,525,94,0,2022-4-22
546,657,0,61,2022-6-1
547,115,0,6,2022-1-26
548,315,0,82,2022-6-24
549,810,28,0,2022-4-1
550,871,12,0,2022-4-18
551,209,0,99,2022-3-24
552,25,0,69,2022-5-16
553,784,0,38,2022-1-23
554,614,0,97,2022-5-26
555,69,47,0,2022-4-13
556,221,86,0,2022-1-14
557,192,52,0,2022-3-3
558,131,83,0,2022-5-3
559,541,0,64,2022-4-22
560,610,0,11,2022-2-8
561,515,0,84,2022-6-4
562,881,0,94,2022-3-23
563,255,0,76,2022-5-21
564,384,0,26,2022-3-26
565,994,0,56,2022-6-3
566,665,91,0,2022-6-7
567,701,65,0,2022-4-8
568,808,0,41,2022-6-1
569,466,0,85,2022-5-20
570,791,0,26,2022-6-2
571,942,5,0,2022-1-21
572,114,12,0,2022-2-4
573,428,76,0,2022-2-11
574,563,83,0,2022-1-5
575,369,0,88,2022-2-23
576,697,58,0,2022-3-8
577,729,5,0,2022-2-13
578,749,0,89,2022-5-21
579,710,0,9,2022-5-22
580,295,0,11,2022-6-21
581,476,0,80,2022-5-27
582,682,0,89,2022-2-2
583,762,0,64,2022-3-2
584,123,97,0,2022-1-19
585,193,38,0,2022-4-23
586,397,0,20,2022-5-27
587,848,0,37,2022-4-10
588,855,30,0,2022-6-16
589,81,0,78,2022-2-18
590,217,33,0,2022-1-14
591,354,0,72,2022-5-22
592,963,0,22,2022-2-9
593,715,13,0,2022-1-24
594,98,0,80,2022-6-22
595,783,84,0,2022-5-14
596,719,84,0,2022-2-24
597,148,0,85,2022-4-3
598,865,0,83,2022-4-5
599,914,0,24,2022-6-1
600,318,0,62,2022-5-10
601,511,0,21,2022-5-13
602,293,0,64,2022-3-5
603,941,90,0,2022-5-2
604,985,0,96,2022-4-23
605,703,56,0,2022-5-13
606,960,84,0,2022-5-17
607,718,0,16,2022-5-20
608,750,57,0,2022-6-21
609,397,0,26,2022-2-11
610,743,49,0,2022-5-10
611,940,62,0,2022-1-26
612,7,0,19,2022-4-6
613,852,0,95,2022-4-20
614,931,0,74,2022-6-27
615,54,78,0,2022-2-6
616,834,0,25,2022-1-15
617,665,0,41,2022-1-15
618,497,61,0,2022-1-4
619,583,0,75,2022-4-21
620,170,29,0,2022-4-9
621,764,95,0,2022-6-16
622,47,0,65,2022-4-6
623,116,0,46,2022-3-18
624,924,0,22,2022-6-13
625,119,93,0,2022-3-26
626,500,0,19,2022-5-11
627,128,8,0,2022-1-19
628,258,71,0,2022-4-19
629,32,51,0,2022-6-5
630,375,0,48,2022-1-13
631,61,0,84,2022-2-7
632,767,26,0,2022-4-12
633,243,0,27,2022-4-5
634,165,58,0,2022-5-27
635,527,49,0,2022-3-14
636,44,37,0,2022-3-3
637,653,0,34,2022-3-13
638,527,0,16,2022-1-5
639,52,0,70,2022-3-18
640,465,41,0,2022-2-13
641,18,0,91,2022-6-9
642,333,17,0,2022-2-18
643,304,0,71,2022-2-22
644,342,42,0,2022-2-25
645,904,0,22,2022-4-9
646,611,72,0,2022-6-23
647,978,83,0,2022-1-8
648,516,0,25,2022-5-10
649,978,0,66,2022-6-18
650,551,0,29,2022-2-3
651,238,0,53,2022-3-27
652,797,35,0,2022-5-12
653,750,0,40,2022-2-1
654,448,81,0,2022-3-19
655,127,2,0,2022-2-14
656,268,13,0,2022-4-4
657,34,68,0,2022-2-15
658,961,0,1,2022-1-25
659,521,0,57,2022-5-5
660,527,0,41,2022-5-6
661,541,0,50,2022-6-14
662,860,0,64,2022-1-12
663,508,99,0,2022-1-15
664,405,0,7,2022-4-5
665,557,0,91,2022-3-5
666,159,0,46,2022-1-12
667,300,0,49,2022-5-18
668,586,81,0,2022-6-6
669,438,85,0,2022-5-1
670,233,82,0,2022-4-11
671,747,96,0,2022-5-21
672,588,28,0,2022-5-17
673,104,81,0,2022-1-24
674,200,0,87,2022-6-15
675,13,13,0,2022-4-21
676,580,69,0,2022-6-15
677,850,0,84,2022-2-3
678,498,0,33,2022-1-22
679,363,0,27,2022-4-8
680,762,0,99,2022-2-24
681,924,0,30,2022-4-10
682,175,0,68,2022-6-10
683,500,86,0,2022-2-1
684,330,86,0,2022-1-6
685,277,99,0,2022-2-18
686,856,25,0,2022-3-17
687,775,50,0,2022-4-13
688,992,0,19,2022-5-11
689,431,61,0,2022-1-4
690,59,0,5,2022-1-17
691,437,20,0,2022-5-6
692,752,0,87,2022-3-23
693,450,29,0,2022-2-2
694,614,33,0,2022-5-25
695,105,29,0,2022-1-1
696,623,83,0,2022-3-19
697,177,0,95,2022-1-22
698,764,0,72,2022-6-2
699,348,0,84,2022-2-1
700,626,50,0,2022-6-11
701,150,0,60,2022-1-22
702,771,0,72,2022-5-3
703,73,0,53,2022-3-4
704,891,0,69,2022-2-20
705,318,0,77,2022-5-5
706,345,58,0,2022-3-12
707,763,71,0,2022-4-14
708,262,0,34,2022-2-20
709,763,0,32,2022-2-25
710,179,0,15,2022-4-4
711,306,0,20,2022-5-14
712,956,51,0,2022-3-22
713,423,14,0,2022-4-1
714,131,0,26,2022-5-1
715,983,0,13,2022-5-24
716,886,69,0,2022-1-20
717,11,97,0,2022-6-1
718,971,0,88,2022-2-10
719,532,7,0,2022-4-22
720,468,87,0,2022-3-17
721,375,57,0,2022-6-17
722,46,82,0,2022-1-7
723,222,0,49,2022-4-16
724,752,12,0,2022-5-1
725,21,40,0,2022-3-6
726,356,52,0,2022-4-2
727,834,93,0,2022-2-9
728,818,37,0,2022-1-1
729,976,0,16,2022-2-2
730,778,0,53,2022-1-26
731,370,0,31,2022-3-15
732,544,0,70,2022-2-27
733,729,0,72,2022-5-9
734,173,34,0,2022-1-11
735,628,93,0,2022-2-27
736,313,0,71,2022-2-19
737,325,0,66,2022-6-3
738,816,53,0,2022-4-12
739,806,0,99,2022-6-27
740,803,0,49,2022-6-19
741,404,0,99,2022-4-7
742,399,0,80,2022-1-3
743,508,0,16,2022-1-9
744,1,88,0,2022-3-18
745,513,0,13,2022-3-10
746,503,64,0,2022-4-11
747,468,0,46,2022-1-15
748,367,0,72,2022-4-11
749,151,0,81,2022-4-24
750,611,7,0,2022-4-13
751,304,46,0,2022-4-15
752,300,90,0,2022-6-7
753,899,0,18,2022-2-22
754,902,46,0,2022-4-4
755,791,0,59,2022-2-7
756,786,65,0,2022-6-27
757,328,0,4,2022-4-22
758,318,0,100,2022-6-15
759,187,0,82,2022-6-9
760,200,0,20,2022-3-3
761,705,37,0,2022-4-1
762,932,0,5,2022-6-14
763,538,0,78,2022-6-5
764,598,0,59,2022-1-2
765,124,0,50,2022-3-10
766,98,12,0,2022-3-25
767,406,35,0,2022-5-20
768,622,0,22,2022-2-19
769,451,51,0,2022-1-21
770,379,0,13,2022-5-18
771,160,9,0,2022-2-14
772,481,44,0,2022-3-26
773,373,0,58,2022-6-8
774,88,16,0,2022-4-13
775,117,0,37,2022-6-7
776,980,0,43,2022-3-11
777,21,21,0,2022-1-4
778,473,51,0,2022-2-8
779,738,36,0,2022-3-5
780,535,91,0,2022-6-8
781,20,0,45,2022-4-24
782,478,0,80,2022-4-2
783,48,0,14,2022-4-13
784,462,37,0,2022-2-14
785,726,75,0,2022-6-1
786,590,0,61,2022-6-23
787,646,0,79,2022-4-17
788,624,91,0,2022-1-23
789,368,15,0,2022-1-5
790,573,14,0,2022-5-14
791,195,0,22,2022-3-13
792,160,91,0,2022-4-19
793,896,0,42,2022-1-16
794,494,0,89,2022-6-14
795,912,0,72,2022-4-19
796,907,0,33,2022-3-12
797,114,0,14,2022-2-17
798,464,0,63,2022-3-14
799,972,41,0,2022-3-22
800,435,68,0,2022-5-15
801,673,31,0,2022-2-19
802,465,84,0,2022-5-3
803,579,31,0,2022-4-19
804,612,0,1,2022-3-4
805,707,0,48,2022-1-2
806,126,0,67,2022-6-5
807,503,0,40,2022-4-3
808,616,40,0,2022-5-4
809,794,0,11,2022-5-16
810,683,0,50,2022-3-2
811,48,41,0,2022-6-2
812,465,0,37,2022-1-11
813,876,0,67,2022-4-21
814,191,0,12,2022-4-10
815,725,4,0,2022-4-9
816,944,77,0,2022-4-8
817,194,86,0,2022-1-22
818,799,0,21,2022-4-6
819,938,0,85,2022-6-26
820,788,7,0,2022-4-4
821,883,31,0,2022-3-11
822,50,6,0,2022-3-22
823,799,31,0,2022-5-19
824,768,23,0,2022-5-20
825,902,0,86,2022-2-17
826,499,69,0,2022-3-26
827,711,0,27,2022-6-8
828,705,0,15,2022-4-27
829,16,78,0,2022-2-2
830,163,38,0,2022-1-13
831,173,0,7,2022-4-17
832,671,0,55,2022-2-12
833,870,100,0,2022-2-17
834,438,57,0,2022-1-13
835,961,0,49,2022-1-4
836,447,69,0,2022-6-23
837,934,0,99,2022-3-24
838,91,0,11,2022-5-10
839,912,24,0,2022-5-19
840,647,69,0,2022-4-5
841,285,10,0,2022-1-22
842,307,0,46,2022-6-7
843,899,49,0,2022-2-22
844,435,93,0,2022-5-26
845,169,0,17,2022-4-24
846,888,12,0,2022-5-2
847,105,5,0,2022-5-19
848,931,96,0,2022-5-26
849,912,0,45,2022-4-2
850,94,30,0,2022-2-18
851,830,0,50,2022-5-24
852,666,0,52,2022-1-17
853,416,0,23,2022-2-1
854,753,66,0,2022-1-11
855,784,0,48,2022-5-11
856,580,0,76,2022-4-15
857,330,53,0,2022-1-21
858,289,0,24,2022-5-23
859,539,0,17,2022-1-21
860,783,0,50,2022-5-12
861,679,97,0,2022-1-10
862,241,74,0,2022-1-1
863,217,65,0,2022-4-7
864,733,0,12,2022-3-2
865,556,0,51,2022-5-23
866,728,71,0,2022-6-17
867,546,0,46,2022-2-12
868,873,0,26,2022-1-20
869,901,41,0,2022-1-1
870,901,0,80,2022-4-17
871,682,0,96,2022-3-21
872,726,7,0,2022-3-20
873,908,27,0,2022-6-24
874,903,12,0,2022-4-22
875,332,0,2,2022-2-17
876,2,0,99,2022-2-22
877,475,40,0,2022-2-22
878,534,60,0,2022-2-22
879,185,0,69,2022-2-6
880,929,0,53,2022-1-1
881,222,43,0,2022-6-2
882,846,30,0,2022-4-4
883,330,0,48,2022-1-13
884,224,0,27,2022-2-25
885,28,8,0,2022-4-3
886,199,0,46,2022-5-4
887,614,17,0,2022-6-25
888,458,66,0,2022-1-6
889,840,70,0,2022-2-1
890,99,95,0,2022-3-6
891,719,0,39,2022-1-24
892,167,0,19,2022-2-9
893,767,53,0,2022-6-4
894,50,71,0,2022-5-9
895,576,35,0,2022-3-9
896,808,0,87,2022-6-4
897,950,0,77,2022-1-4
898,136,0,74,2022-2-2
899,9,91,0,2022-4-11
900,609,0,32,2022-2-27
901,339,0,9,2022-1-7
902,685,18,0,2022-5-1
903,964,99,0,2022-2-6
904,140,69,0,2022-1-26
905,944,0,84,2022-6-9
906,222,64,0,2022-6-27
907,252,17,0,2022-4-12
908,888,0,50,2022-5-26
909,166,12,0,2022-5-9
910,372,0,3,2022-6-11
911,351,0,55,2022-6-13
912,705,77,0,2022-5-21
913,553,76,0,2022-3-16
914,170,66,0,2022-5-14
915,258,75,0,2022-2-17
916,263,0,6,2022-5-3
917,762,0,3,2022-2-9
918,357,0,78,2022-1-18
919,185,0,21,2022-5-14
920,297,44,0,2022-1-1
921,132,28,0,2022-1-26
922,410,74,0,2022-1-27
923,458,88,0,2022-1-25
924,11,0,72,2022-6-10
925,327,0,12,2022-5-20
926,843,100,0,2022-5-23
927,254,0,27,2022-2-7
928,499,41,0,2022-6-17
929,114,43,0,2022-1-9
930,969,0,78,2022-4-18
